Nombre de la asignatura;Curso;Profesor
Bases de Datos;1º DAM;magaña@email.com
Entornos de Desarrollo;1º DAM;magaña@email.com
Formación y Orientación Laboral;1º DAM;casanova@email.com
FOP;1º DAM;molina@email.com
Lenguajes de Marcas y Sistemas de Gestión de la Información;1º DAM;villar@email.com
Programación;1º DAM;naranjo@email.com
Sistemas Informáticos;1º DAM;campos@email.com
Acceso a Datos;2º DAM;magaña@email.com
Desarrollo de Interfaces;2º DAM;campos@email.com
Empresa e Iniciativa Emprendedora;2º DAM;casanova@email.com
FOP;2º DAM;molina@email.com
Inglés;2º DAM;camacho@email.com
Programación de Servicios y Procesos;2º DAM;magaña@email.com
Programación Multimedia y Dispositivos Móviles;2º DAM;campos@email.com
Sistemas de Gestión Empresarial;2º DAM;magaña@email.com
Comunicación y Atención al cliente;1º AyF;reyna@email.com
FOP;1º AyF;molina@email.com
Formación y Orientación Laboral	1º AyF;casanova@email.com
Gestión de la Documentación Jurídica y Empresarial;1º AyF;prieto@email.com
Inglés;1º AyF;camacho@email.com
Ofimática y Proceso de la Información;1º AyF;calderon@email.com
Proceso Integral de la Actividad Comercial;1º AyF;gutierrez@email.com
Rcursos Humanos y Responsabilidad Social Corporativa;1º AyF;fornelino@email.com
Contabilidad y Fiscalidad;2º AyF;garciareina@email.com
Fiscalidad;2º AyF;reyna@email.com
FOP;2º AyF;molina@email.com
Gestión de Recursos Humanos;2º AyF;fornelino@email.com
Gestión Financiera;2º AyF;roldan@email.com
Gestión Logística y Comercial;2º AyF;reyna@email.com
Simulación Empresarial;2º AyF;organvidez@email.com
