Nombre de la asignatura;Curso;Profesor
Bases de Datos;1º DAM;magaña@email.com
Entornos de Desarrollo;1º DAM;magaña@email.com
Formación y Orientación Laboral;1º DAM;casanova@email.com
FOP;1º DAM;molina@email.com
Lenguajes de Marcas y Sistemas de Gestión de la Información;1º DAM;villar@email.com
Programación;1º DAM;naranjo@email.com
Sistemas Informáticos;1º DAM;campos@email.com
Acceso a Datos;2º DAM;magaña@email.com
Desarrollo de Interfaces;2º DAM;campos@email.com
Empresa e Iniciativa Emprendedora;2º DAM;casanova@email.com
FOP;2º DAM;molina@email.com
Inglés;2º DAM;camacho@email.com
Programación de Servicios y Procesos;2º DAM;magaña@email.com
Programación Multimedia y Dispositivos Móviles;2º DAM;campos@email.com
Sistemas de Gestión Empresarial;2º DAM;magaña@email.com
