Nombre;Apellidos;correo;contrasenya;jefe
Luis Miguel;López Magaña;magaña@email.com;magaña;False
Miguel;Campos Rivera;campos@email.com;campos;False
Ángel;Naranjo González;naranjo@email.com;naranjo;True
Rafael;Villar Liñán;villar@email.com;villar;False
Antonio Jesús;Casanova Domínguez;casanova@email.com;casanova;False
Francisca;García Reina;garciareina@email.com;garciareina;False
Juan;Jiménez de Reyna;reyna@email.com;reyna;False
María Mónica;Sánchez Fornelino;fornelino@email.com;fornelino;False
Alicia;Ramírez Roldán;roldan@email.com;roldan;False
Fernando;Organvídez Sánchez;organvidez@email.com;organvidez;False
Irene;Prieto Ortiz;prieto@email.com;prieto;False
Cristian;López camacho;camacho@email.com;camacho;False
David;Fernández Calderón;calderon@email.com;calderon;False
Juan;Gutiérrez Gracía;gutierrez@email.com;gutierrez;False
Diego;Molina Aguilera;molina@email.com;molina;False
